#Report Name: DSA-Sec School Applicants Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Generated Date/Time:30/06/2025 09:07:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Generated By: Teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC/FIN/RG NO.,NAME (BC/FIN/Passport No.),PRIMARY SCHOOL NAME,TALENT APPLIED 1,INTEGRATED PROGRAMME / SEC PROGRAMME / NO PREFERENCE (Applicable for DT Schools),TALENT APPLIED 2,INTEGRATED PROGRAMME / SEC PROGRAMME / NO PREFERENCE (Applicable for DT Schools),CITIZENSHIP,DATE OF BIRTH,SEX,GEP  STATUS,ADDRESS,POSTAL CODE,MAIN CONTACT NAME,MAIN CONTACT MOBILE NUMBER,MAIN CONTACT EMAIL ADDRESS,ALTERNATE CONTACT NAME,ALTERNATE  CONTACT MOBILE NUMBER,ALTERNATE CONTACT EMAIL ADDRESS,FATHER NAME,FATHER CONTACT,MOTHER NAME,MOTHER CONTACT,FIRST LANGUAGE,SECOND LANGUAGE,APPROVED MOTHER TONGUE,ACADEMIC YEAR,LEVEL,P6 OVERALL %,EL,BLANK,BLANK,FIRST COMBINED MARKS,MATHS,BLANK,BLANK,FIRST COMBINED MARKS,SCI,BLANK,BLANK,FIRST COMBINED MARKS,MT,BLANK,BLANK,FIRST COMBINED  MARKS,HMT,BLANK,BLANK,FIRST COMBINED  MARKS,CONDUCT,TEACHER'S REMARKS,ACADEMIC YEAR,LEVEL,P5 OVERALL %,EL,BLANK,BLANK,FIRST COMBINED MARKS,OVERALL MARKS,MATHS,BLANK,BLANK,FIRST COMBINED MARKS,OVERALL MARKS,SCI,BLANK,BLANK,FIRST COMBINED MARKS,OVERALL MARKS,MT,BLANK,BLANK,FIRST COMBINED MARKS,OVERALL MARKS,HMT,BLANK,BLANK,FIRST COMBINED MARKS,OVERALL MARKS,CONDUCT,TEACHER'S REMARKS,CCA YEAR,CCA NAME,EVENT/COMPETITION,INVOLVEMENT,CCA YEAR,CCA NAME,EVENT/COMPETITION,INVOLVEMENT,CCA YEAR,CCA NAME,EVENT/COMPETITION,INVOLVEMENT,CCA YEAR,CCA NAME,EVENT/COMPETITION,INVOLVEMENT,CCA YEAR,CCA NAME,EVENT/COMPETITION,INVOLVEMENT,CCA YEAR,CCA NAME,EVENT/COMPETITION,INVOLVEMENT,CCA YEAR,CCA NAME,EVENT/COMPETITION,INVOLVEMENT,VIA YEAR,VIA  NAME OF ACTIVITY/PROJECT,PARTNER ORGANISATION,VIA YEAR,VIA  NAME OF ACTIVITY/PROJECT,PARTNER ORGANISATION,VIA YEAR,VIA  NAME OF ACTIVITY/PROJECT,PARTNER ORGANISATION,VIA YEAR,VIA  NAME OF ACTIVITY/PROJECT,PARTNER ORGANISATION,VIA YEAR,VIA  NAME OF ACTIVITY/PROJECT,PARTNER ORGANISATION,AWARD YEAR,MOE/SCHOOL BASED AWARD AND ACHIEVEMENTS,AWARD YEAR,MOE/SCHOOL BASED AWARD AND ACHIEVEMENTS,AWARD YEAR,MOE/SCHOOL BASED AWARD AND ACHIEVEMENTS,NON-SCHOOL BASED AWARDS/ACTIVITIES (Period/Award & Activity Description),NON-SCHOOL BASED AWARDS/ACTIVITIES (Period/Award & Activity Description),NON-SCHOOL BASED AWARDS/ACTIVITIES (Period/Award & Activity Description),NON-SCHOOL BASED AWARDS/ACTIVITIES (Period/Award & Activity Description),NON-SCHOOL BASED AWARDS/ACTIVITIES (Period/Award & Activity Description),NAPFA YEAR,BLANK,LATEST HEIGHT (cm),LATEST WEIGHT (kg),SIT-UP SCORE,PERF BAND,STANDING BROAD JUMP SCORE,PERF BAND,SIT AND REACH SCORE,PERF BAND,PULLUP SCORE,PERF BAND,SHUTTLE RUN SCORE,PERF BAND,1.6/2.4KM RUN SCORE,PERF BAND,AWARD,NOMINATED BROADENED DSA INDICATOR,PRIMARY SCHOOLS' REASON FOR RECOMMENDATION
T2345670X,STUDENT 1,Greenview Primary,Art,,Debate,,Singapore Citizen,6/10/13,F,,538 ABC Street #09-30,501294,Parent 1,95225849,parent1@example.com,Guardian 1,84737596,guardian1@example.com,Mr STUDENT,96383627,Mrs STUDENT,98646379,English,Chinese,Chinese,2025,P6,61,66,,,,,63,,,,,84,,,,,70,,,,,Very Good,Consistent effort.,2024,P5,62,78,,,,,62,,,,,70,,,,,87,,,,,,,,,,Very Good,Shows good leadership.,2023,Art,National School Games,Finalist,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,EAGLES Award,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,134,50,25,C,172,A,30,C,5,A,12,B,647,B,Gold,Yes,Strong passion for sport.
T2345671X,STUDENT 2,Greenview Primary,Choir,,Track & Field,,Singapore Citizen,14/10/12,M,No,387 ABC Street #05-54,543062,Parent 2,96205498,parent2@example.com,Guardian 2,89251441,guardian2@example.com,Mr STUDENT,99486322,Mrs STUDENT,98033481,English,Chinese,Chinese,2025,P6,80,86,,,,,81,,,,,85,,,,,74,,,,,Excellent,Well behaved.,2024,P5,68,74,,,,,79,,,,,77,,,,,76,,,,,,,,,,Good,Shows good leadership.,2023,Choir,SYF,Participant,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,EAGLES Award,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,165,31,23,C,165,A,39,A,2,C,11,C,757,C,Bronze,Yes,Strong passion for sport.
T2345672X,STUDENT 3,Sunshine Primary,Choir,,Debate,,Singapore Citizen,9/10/12,M,No,853 ABC Street #07-79,535940,Parent 3,92854070,parent3@example.com,Guardian 3,85011088,guardian3@example.com,Mr STUDENT,96806685,Mrs STUDENT,92630932,English,Chinese,Chinese,2025,P6,83,79,,,,,78,,,,,64,,,,,60,,,,,Very Good,Consistent effort.,2024,P5,64,90,,,,,71,,,,,70,,,,,60,,,,,,,,,,Very Good,Shows good leadership.,2023,Choir,SYF,Winner,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,EAGLES Award,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,170,53,37,B,187,B,28,C,10,A,12,C,639,C,Bronze,Yes,Strong passion for sport.
T2345673X,STUDENT 4,Greenview Primary,Science,,Debate,,Singapore Citizen,20/3/13,M,Yes,230 ABC Street #06-60,593891,Parent 4,96154815,parent4@example.com,Guardian 4,81719567,guardian4@example.com,Mr STUDENT,92116572,Mrs STUDENT,94358472,English,Chinese,Chinese,2025,P6,62,66,,,,,84,,,,,79,,,,,70,,,,,Excellent,Improving steadily.,2024,P5,67,89,,,,,85,,,,,90,,,,,82,,,,,,,,,,Good,Respectful to peers.,2023,Science,SYF,Winner,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,Good Progress Award,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,164,43,22,A,187,C,39,A,4,B,12,A,859,A,Gold,Yes,Strong passion for sport.
T2345674X,STUDENT 5,Sunshine Primary,Robotics,,,,Singapore Citizen,18/7/13,F,,778 ABC Street #01-48,587048,Parent 5,97376704,parent5@example.com,Guardian 5,89913297,guardian5@example.com,Mr STUDENT,91759707,Mrs STUDENT,99693536,English,Chinese,Chinese,2025,P6,82,66,,,,,78,,,,,82,,,,,74,,,,,Good,Consistent effort.,2024,P5,88,89,,,,,87,,,,,65,,,,,77,,,,,,,,,,Very Good,Respectful to peers.,2023,Robotics,Internal Competition,Finalist,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,Good Progress Award,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,155,55,38,A,167,A,29,B,5,A,11,A,721,B,Silver,Yes,Strong passion for sport.
T2345675X,STUDENT 6,Sunshine Primary,Science,,Drama,,Singapore Citizen,11/2/13,F,No,42 ABC Street #09-28,553759,Parent 6,93346540,parent6@example.com,Guardian 6,81016614,guardian6@example.com,Mr STUDENT,92235525,Mrs STUDENT,94078611,English,Chinese,Chinese,2025,P6,79,70,,,,,71,,,,,83,,,,,87,,,,,Very Good,Improving steadily.,2024,P5,74,82,,,,,70,,,,,89,,,,,61,,,,,,,,,,Good,Respectful to peers.,2023,Science,Internal Competition,Participant,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,Edusave Merit Bursary,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,155,50,32,C,193,C,31,A,4,B,10,A,649,C,Bronze,Yes,Strong passion for sport.
T2345676X,STUDENT 7,Greenview Primary,Badminton,,,,Singapore Citizen,20/9/12,M,Yes,74 ABC Street #03-33,596103,Parent 7,93112620,parent7@example.com,Guardian 7,81631324,guardian7@example.com,Mr STUDENT,96426210,Mrs STUDENT,91231591,English,Chinese,Chinese,2025,P6,71,86,,,,,62,,,,,89,,,,,64,,,,,Very Good,Consistent effort.,2024,P5,63,84,,,,,73,,,,,65,,,,,66,,,,,,,,,,Very Good,Shows good leadership.,2023,Badminton,National School Games,Participant,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,Good Progress Award,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,169,32,25,B,183,A,27,A,8,B,11,C,653,C,Gold,Yes,Exemplary conduct.
T2345677X,STUDENT 8,Greenview Primary,Badminton,,Debate,,Singapore Citizen,19/9/13,M,No,388 ABC Street #08-73,565843,Parent 8,93394227,parent8@example.com,Guardian 8,89335631,guardian8@example.com,Mr STUDENT,98280983,Mrs STUDENT,93041419,English,Chinese,Chinese,2025,P6,70,64,,,,,62,,,,,72,,,,,80,,,,,Good,Improving steadily.,2024,P5,90,86,,,,,66,,,,,83,,,,,67,,,,,,,,,,Excellent,Respectful to peers.,2023,Badminton,Internal Competition,Winner,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,Edusave Merit Bursary,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,130,31,28,B,156,A,28,C,8,C,12,B,779,A,Gold,Yes,Exemplary conduct.
T2345678X,STUDENT 9,Greenview Primary,Badminton,,,,Singapore Citizen,11/3/13,F,,496 ABC Street #07-46,519988,Parent 9,98765394,parent9@example.com,Guardian 9,83777139,guardian9@example.com,Mr STUDENT,91380653,Mrs STUDENT,99671477,English,Chinese,Chinese,2025,P6,84,64,,,,,80,,,,,90,,,,,84,,,,,Excellent,Consistent effort.,2024,P5,87,79,,,,,64,,,,,87,,,,,75,,,,,,,,,,Good,Respectful to peers.,2023,Badminton,National School Games,Participant,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,EAGLES Award,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,155,50,35,C,150,B,29,A,7,C,12,B,768,B,Silver,Yes,Strong passion for sport.
T2345679X,STUDENT 10,Greenview Primary,Choir,,Drama,,Singapore Citizen,21/9/12,M,No,58 ABC Street #01-32,522573,Parent 10,92642314,parent10@example.com,Guardian 10,81788111,guardian10@example.com,Mr STUDENT,94854388,Mrs STUDENT,98425547,English,Chinese,Chinese,2025,P6,62,88,,,,,77,,,,,90,,,,,60,,,,,Very Good,Consistent effort.,2024,P5,70,74,,,,,78,,,,,80,,,,,75,,,,,,,,,,Excellent,Participates actively in class.,2023,Choir,Internal Competition,Participant,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,Good Progress Award,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,150,32,31,A,169,C,20,B,10,A,12,C,617,C,Bronze,Yes,Consistent performer.
